id,customer_id,date,credit_score
22794,31182,2025-01-01,Standard
103542,47773,2025-01-01,Standard
106278,2309,2025-01-01,Standard
18642,15303,2025-01-01,Poor
46686,6914,2025-01-01,Standard
47478,31191,2025-01-01,Standard
131550,1085,2025-01-01,Poor
54198,5513,2025-01-01,Standard
128166,12511,2025-01-01,Good
62586,11801,2025-01-01,Standard
104250,16726,2025-01-01,Good
13398,38595,2025-01-01,Good
142338,15018,2025-01-01,Standard
126138,21015,2025-01-01,Good
47322,9904,2025-01-01,Poor
151542,13599,2025-01-01,Standard
74910,34496,2025-01-01,Poor
103206,16794,2025-01-01,Standard
14562,40809,2025-01-01,Good
104082,39139,2025-01-01,Standard
141246,12736,2025-01-01,Poor
53946,45023,2025-01-01,Good
8286,18132,2025-01-01,Standard
62874,44691,2025-01-01,Poor
43482,9491,2025-01-01,Standard
96810,42522,2025-01-01,Poor
34698,14190,2025-01-01,Standard
139170,26905,2025-01-01,Good
34938,34772,2025-01-01,Standard
7242,44625,2025-01-01,Standard
65814,47462,2025-01-01,Poor
12378,1061,2025-01-01,Standard
47130,22943,2025-01-01,Standard
112182,5403,2025-01-01,Standard
99210,3814,2025-01-01,Good
36942,43819,2025-01-01,Poor
109350,6302,2025-01-01,Good
36066,36742,2025-01-01,Standard
76854,18069,2025-01-01,Standard
78990,29562,2025-01-01,Good
55062,3188,2025-01-01,Good
119286,37203,2025-01-01,Standard
7758,3153,2025-01-01,Standard
87162,28844,2025-01-01,Good
51678,3196,2025-01-01,Standard
74094,41838,2025-01-01,Standard
111450,33856,2025-01-01,Standard
96486,10975,2025-01-01,Poor
29094,16152,2025-01-01,Standard
107934,40380,2025-01-01,Standard
70794,15712,2025-01-01,Standard
35478,1803,2025-01-01,Standard
116598,41886,2025-01-01,Standard
14430,21523,2025-01-01,Poor
151062,33077,2025-01-01,Standard
38754,42935,2025-01-01,Good
126954,17506,2025-01-01,Standard
147258,5794,2025-01-01,Standard
24642,15614,2025-01-01,Good
39090,28329,2025-01-01,Good
18570,25763,2025-01-01,Standard
63762,8835,2025-01-01,Standard
151134,27265,2025-01-01,Standard
30042,16177,2025-01-01,Standard
16686,11405,2025-01-01,Standard
80886,26141,2025-01-01,Poor
68718,43441,2025-01-01,Poor
74166,43933,2025-01-01,Standard
137250,7887,2025-01-01,Standard
20682,13364,2025-01-01,Poor
